[2023-04-02 09:00:51] No settings files found: D:/Users/Srujan/Downloads/mindustry-server/config/settings.bin and D:/Users/Srujan/Downloads/mindustry-server/config/settings_backup.bin
[2023-04-02 10:24:18] Saving 8 values; 399 bytes
[2023-04-02 10:25:18] Saving 8 values; 399 bytes
[2023-04-02 10:26:18] Saving 8 values; 399 bytes
[2023-04-02 10:26:30] Saving 8 values; 399 bytes
[2023-04-02 10:26:30] Saving 8 values; 399 bytes
[2023-04-02 10:26:30] Saving 8 values; 399 bytes
[2023-04-02 10:27:18] Saving 8 values; 399 bytes
[2023-04-02 10:28:18] Saving 8 values; 399 bytes
[2023-04-02 10:29:18] Saving 8 values; 399 bytes
[2023-04-02 10:30:18] Saving 8 values; 399 bytes
[2023-04-02 10:31:18] Saving 8 values; 399 bytes
[2023-04-02 10:32:18] Saving 8 values; 399 bytes
[2023-04-02 10:32:49] Saving 8 values; 399 bytes
[2023-04-02 10:32:50] Saving 8 values; 399 bytes
[2023-04-02 10:32:50] Saving 8 values; 399 bytes
[2023-04-02 10:33:18] Saving 8 values; 399 bytes
[2023-04-02 10:34:18] Saving 8 values; 399 bytes
[2023-04-02 10:35:18] Saving 8 values; 399 bytes
[2023-04-02 10:36:18] Saving 8 values; 399 bytes
[2023-04-02 10:37:18] Saving 8 values; 399 bytes
[2023-04-02 10:38:18] Saving 8 values; 399 bytes
[2023-04-02 10:39:18] Saving 8 values; 399 bytes
[2023-04-02 10:40:18] Saving 8 values; 399 bytes
[2023-04-02 10:41:18] Saving 8 values; 399 bytes
[2023-04-02 10:42:18] Saving 8 values; 399 bytes
[2023-04-02 10:43:18] Saving 8 values; 399 bytes
[2023-04-02 10:44:18] Saving 8 values; 399 bytes
[2023-04-02 10:45:11] Saving 8 values; 399 bytes
[2023-04-02 10:45:11] Saving 8 values; 399 bytes
[2023-04-02 10:45:11] Saving 8 values; 399 bytes
[2023-04-02 10:45:18] Saving 8 values; 399 bytes
[2023-04-02 10:46:18] Saving 8 values; 399 bytes
[2023-04-02 10:47:18] Saving 8 values; 399 bytes
[2023-04-02 10:48:18] Saving 8 values; 399 bytes
[2023-04-02 10:49:18] Saving 8 values; 399 bytes
[2023-04-02 10:50:18] Saving 8 values; 399 bytes
[2023-04-02 10:51:18] Saving 8 values; 399 bytes
[2023-04-02 10:52:04] Saving 8 values; 399 bytes
[2023-04-02 10:52:04] Saving 8 values; 399 bytes
[2023-04-02 10:52:04] Saving 8 values; 399 bytes
[2023-04-02 10:52:18] Saving 8 values; 399 bytes
[2023-04-02 10:53:18] Saving 8 values; 399 bytes
[2023-04-02 10:54:18] Saving 8 values; 399 bytes
[2023-04-02 10:55:18] Saving 8 values; 399 bytes
[2023-04-02 10:56:18] Saving 8 values; 399 bytes
[2023-04-02 10:57:18] Saving 8 values; 399 bytes
[2023-04-02 10:58:18] Saving 8 values; 399 bytes
[2023-04-02 11:18:01] Loaded 8 values
[2023-04-02 11:18:01] Backed up config/settings.bin to config/settings_backup.bin (399 bytes)
[2023-04-02 11:18:03] Saving 8 values; 399 bytes
[2023-04-02 11:18:13] Saving 8 values; 399 bytes
[2023-04-02 11:18:13] Saving 8 values; 399 bytes
[2023-04-02 11:18:13] Saving 8 values; 399 bytes
[2023-04-02 11:26:16] Loaded 8 values
[2023-04-02 11:26:16] Backed up config/settings.bin to config/settings_backup.bin (399 bytes)
[2023-04-02 11:26:17] Saving 8 values; 399 bytes
[2023-04-02 11:26:31] Loaded 8 values
[2023-04-02 11:26:31] Backed up config/settings.bin to config/settings_backup.bin (399 bytes)
[2023-04-02 11:26:32] Saving 8 values; 399 bytes
[2023-04-02 11:26:32] Saving 8 values; 399 bytes
[2023-04-02 11:26:33] Saving 8 values; 399 bytes
